insufficiency:NN	অপর্যাপ্ততা
adolescnet:NN	নবযুবক
adolescnet:NN	নবযুবতী
adjunct:NN	বিশেষণ
admirable:JJ	প্রশংসনীয়
admirable:JJ	চমৎকার
aggravate:NN	উত্যক্ত করা
adaptable:JJ	অভিযোজনীয়
affiliation:NN	আসক্তি
acceptable:JJ	গ্রহণীয়
acceptable:JJ	মনোরম
affront:NN	প্রকাশ্যে অপমান করা
adhesion:NN	সংযুক্ত থাকা
adhesion:NN	সংলগ্নতা
abstract:JJ	নিষ্কাশন করা
abstract:JJ	পৃথক করা
adjutant:JJ	সেনা বিভাগের সহকারী কর্মচারী
adventurous:JJ	দুঃসাহসিক
adventurous:JJ	দুঃসাহসপূর্ণ
accountancy:NN	হিসাব রক্ষণের কার্য বা পদ
abed:RB	শয্যাগত
abed:RB	শয্যার উপরে
abc:NP	বর্ণমালা
abc:NP	প্রাথমিকতত্ত্ব বা বিষয়
aged:JJ	বয়স্ক
advanced:VVD	অগ্রসর
a-bomb:NP	পারমানবিক বোমা
aetiology:NN	কারণ নির্দেশ
ah:UH	আহা
ah:UH	হায়
ah:UH	বিস্ময়
ah:UH	করুনা
achieve:VV	সাফল্যের সঙ্গে লাভ করা
advent:NN	আগমন
advent:NN	আবিরর্ভাব
accuracy:NN	ভ্রমশূণ্যতা
accuracy:NN	নিখুঁতভাব
admittedly:RB	সর্বম্মতিক্রমে
agonizing:JJ	অত্যন্ত দুঃখ জনক
agree:VVP	সম্মত হওয়া
agglomerate:NN	পিন্ড করা
abnormality:NN	নিয়মের ব্যতিক্রম
abnormality:NN	অস্বাভাবিক
affirmatively:RB	নিশ্চয় রূপে
accidentally:RB	দৈবক্রমে
accidentally:RB	আকস্মিকভাবে
about:IN	চর্তুদিকে
about:IN	নিকটবর্তী
about:IN	আসন্ন
agitation:NN	আলোড়ণ
accomplice:NN	দুষ্কমের সহচর
accomplice:NN	দুষ্কমের সহযোগী
addicted:VVN	আসক্ত
addicted:VVN	মন্দ অভ্যাসে অভ্যস্ত
address:NN	সম্বোধন করা
address:NN	ভাষন দেওয়া
affably:RB	শিষ্ঠাচারের সাথে
abject:JJ	শোচনীয়
afflict:NN	দুঃখ দেওয়া
adapt:VV	পরিবর্তনের দ্বারা উপযোগী করা
agency:NN	মাধ্যম
acquittance:NN	ঋণ পরিশোধ
acquittance:NN	পূর্ণ প্রাপ্তি রশিদ
ache:NN	বেদনা
agitated:JJ	বিক্ষুদ্ধ
agent:NN	প্রতিনিধি
aesthetics:NNS	সৌন্দর্য বিজ্ঞান
afflicytion:NN	মানসিক যন্ত্রনা
administrator:NN	পরিচালক
accurate:JJ	সঠিক
accurate:JJ	নির্ভুল
agazq:NN	স্থির দৃষ্টিতে
aerofoil:NN	উড়জাহাজের পাখা
advertiser:NN	বিজ্ঞাপন দাতা
abut:RB	প্রান্তে থাকা
abut:RB	শেষ হওয়া
agreeable:NN	মনোরম
absolutism:NN	স্বৈরতন্ত্র শাসকের শাসন
abysmal:JJ	অতল স্পর্শ
abysmal:JJ	অগাধ
abysmal:JJ	অন্তহীন
admirer:NN	গুনমুদ্ধ ব্যক্তি
adjacent:JJ	পাশ্ববর্তী
adjacent:JJ	আসন্ন
adverse:JJ	প্রতিকূল
agitator:NN	উত্তেজনা সৃষ্টিকারী
adjutancy:NN	সেনা বিভাগের সহকারী কর্মচারীর পদ
adept:JJ	সুদক্ষ ব্যক্তি
accumulate:VV	জড়ো করা
accumulate:VV	জড়ো হওয়া
abjection:NN	নীচ বা হীন অবস্থা
adult:NN	বয়স্ক
adult:NN	প্রাপ্ত বয়স্ক
aeronautics:NN	বিমান চালানোর বিদ্যা
acidosis:NN	রক্তে অম্লর আধিক্য
administrative:JJ	প্রসাশনিক
abuse:VV	গালাগালি দেওয়া
abuse:VV	দুর্ব্যবহার করা
abolish:VV	লোপ করা
abolish:VV	রদ করা
adoration:NN	আরাধনা
abrasive:JJ	ঘষে ফেলা যায় এমন
ablactation:NN	শিশুকে স্তন ত্যাগ করানো
account-general:JJ	হিসাব নিকাশ বিভাগের অধ্যক্ষ
abjure:NN	শপথ পূর্বক পরিত্যাগ করা
aflame:NN	জ্বলন্ত
aggressive:JJ	আক্রমণশীল
abrade:NN	ঘষিয়া তুলে ফেলা
abloom:RB	প্রস্ফুটিত
accommodtion:NN	মানিয়া নিতে
accommodtion:NN	উপযোগীকরণ
accommodtion:NN	সুযোগ সুবিধা
admix:NN	মিশ্রিত করা
admix:NN	মিশিয়ে দেওয়া
adhesive:JJ	আঠালো
accomplish:VV	সম্পন্ন করা
abbreviation:NN	সংক্ষেপ করণ
abbreviation:NN	সংক্ষিপ্তরূপ
abbreviate:VV	সংক্ষিপ্ত করা
admonish:VV	মৃদু ভৎর্সনা করা
admonish:VV	সতর্ক করা
absorbed:VVN	বিশোষিত
absorbed:VVN	নিবিষ্ট
absorbed:VVN	তন্ময়
ado:NN	গোলমাল
adjective:NN	বিশেষণ
adjective:NN	গুণবাচক শব্দ
accouchement:NN	সন্তান প্রসব
advocate-general:JJ	সর্বপ্রধান সহকারী উকিল
advert:NN	মনফিরানো
acquirement:NN	অর্জন
across:IN	অপর পারে
aborigines:NNS	আদিম অধিবাসীগণ
advantage-ground:JJ	অপেক্ষাকৃত সুবিধা জনক অবস্থা
abscond:NN	আত্মগোপন করা
abscond:NN	ফেরার হওয়া
affected:VVN	প্রভাবিত
acoustics:NNS	স্বনবিদ্যা
acoustics:NNS	শ্রুতিবিদ্যা
accede:VV	রাজী হওয়া
accede:VV	গদি লাভ করা
adumbrate:VV	ঈষৎ পূর্বাভাষ দেওয়া
adulatory:NN	অত্যাধিক প্রসংশা সূচক
affection:NN	অনুরাগ
absorption:NN	পরিশোষণ
absorption:NN	সম্পূর্ণ মনোনিবেশ
agnomen:NN	অতিরিক্ত নাম
ague:NN	পালা জ্বর
acquaint:VV	পরিচিত করানো
acquaint:VV	আলাপ করানো
adherent:JJ	সংলগ্ন
abstraction:NN	অন্যমনস্কতা
abstraction:NN	নিরপেক্ষতা
absorbable:JJ	শোষন যোগ্য
adherence:NN	অনুগত্য
acriomony:NN	বদমেজাজ
acriomony:NN	স্বভাবের রুক্ষতা
abnormal:JJ	ব্যতিক্রমমূলক
acquisition:NN	অর্জন
acquisition:NN	অর্জিত দ্রব্য বা বিষয়
accusation:NN	অভিযোগকরণ
accusation:NN	নালিশ
agelogn:NN	বহু পুরাতন
accountrements:NNS	পরিচ্ছদ
accountrements:NNS	সামরিক সাজ-সরঞ্জাম
adornment:NN	সৌন্দর্য সম্পাদনা
aerodrome:NN	বিমান ঘাটি
abroad:RB	বিদেশে
abroad:RB	বাহিরে
abroad:RB	অবাধে
accmpanist:NN	গীতের সহিত সংগতকারী
abrupt:JJ	আকস্মিক
abrupt:JJ	অসামান্য
abrupt:JJ	অসংলগ্ন
adulation:NN	চাটুবাদ
actually:RB	প্রকৃত পক্ষে
actually:RB	বস্তুতঃ
actually:RB	কার্যত
afflicted:JJ	পীড়িত
adulterine:NN	জারজ সন্তান
abolition:NN	বিলোপ
abolition:NN	রদ
abolition:NN	বিলুপ্তি
abreast:RB	কাঁধে-কাঁধে
advangeous:JJ	লাভ জনক
aeroplane:NN	উড়ো জাহাজ
abstinent:NN	সংযমী
abstinent:NN	মিতাচারী
accepted:VVN	গৃহীত
accepted:VVN	স্বীকৃত
accepted:VVN	প্রচলিত
absolve:VVP	অপারাধ হতে মুক্ত বলে ঘোষনা করা
admonitory:NN	সতর্কতা সূচক
abstemious:JJ	মিতাচারী
abstemious:JJ	সংযোমী
acidity:NN	অম্লতা
acidity:NN	অম্লত্ব
ably:RB	যোগ্যতার সহিত
ably:RB	দক্ষতার সহিত
aesthetic:JJ	সৌন্দর্য বিজ্ঞান বিষয়ক
aghast:NN	অত্যন্ত ভয়ে অভিভূত
accost:VV	প্রথমে সম্ভাষণ করা
accost:VV	অগ্রসর হইয়া কথা বলা
absentee:JJ	অনুপস্থিত লোক
accordingly:RB	তদানুসারে
accordingly:RB	অতএব
abridgement:JJ	সংক্ষেপ করণ
abridgement:JJ	সংক্ষেপন
adjoin:VV	সংযুক্ত করা
adverb:NN	ক্রিয়া বিশেষণ
adverb:NN	বিশেষণের বিশেষণ
ablative:JJ	অপাদান কারক
acumen:NN	সূক্ষদৃষ্টি
acumen:NN	প্রখর বুদ্ধি
acid:NN	অম্ল
acid:NN	টক
abutter:RB	লাগোয়া সম্পতির মালিক
abduct:NN	অপহরণ করা
abomination:NN	অত্যান্ত ঘৃণা
abomination:NN	বিরক্তি বোধ
affiliate:NN	অন্ত ভক্তি
absence:NN	অনুপস্থিতি
absence:NN	অভাব
acquire:VV	অধিকার করা
acetic:JJ	ভিনিগার
accessory:NN	আনুষঙ্গিক
accessory:NN	প্রয়োজনীয় বস্তু
aerogram:NN	বেতার বার্তা
aerial:JJ	আকাশ তার
aerial:JJ	বায়োবীয়
abortion:NN	গর্ভপাত
adinterim:NN	অন্তবর্তী কালীন
abilities:NNS	ধীশক্তি
absent-minded:JJ	অন্যমনস্ক
absent-minded:JJ	আনমনা
advance:NN	অগ্রসর হওয়া
addition:NN	সংকলন
addition:NN	বৃদ্ধি
addition:NN	যোগ
adoptive:JJ	দত্তক গ্রহিতা
agape:NN	হা করে
agog:NN	উত্তেজিত
affect:VV	পরিবর্তন সাধন করা
advertise:VV	প্রচার করা
affirn:NN	অনুমোদন করা
accent:NN	ধ্বনির তীব্রতা
accent:NN	উচ্চারণে জোর দেওয়া
actress:NN	নটী
aberrant:JJ	বিপদগামী
aberrant:JJ	অস্বাভাবিক
accurst:NN	অভিশপ্ত
accurst:NN	ঘৃণ্য
addax:NN	উত্তর আফ্রিকা ও আরবের বড় হরিন বিশেষ
adhoc:NN	বিশেষ উদ্দেশে গঠিত
affable:JJ	অমায়িক
aeronaut:NN	বৈমানিক
actual:JJ	বাস্তব
actual:JJ	সত্য
affright:NN	ভীত করা
agitate:NN	আন্দোলন করা
adequacy:NN	প্রাচুর্য
adequacy:NN	পর্যাপ্তি
aborignal:JJ	আদিম
aborignal:JJ	প্রাচীন
admittance:NN	প্রবেশ
admittance:NN	প্রবেশাধিকার
account:NN	গণনা
account:NN	হিসাব
administration:NN	শাসন কার্য
abrouptly:RB	হঠাৎ
abrouptly:RB	সহসা
agriculture:NN	চাষ
admitted:VVD	স্বীকৃত
aeon:NN	যুগ
aeon:NN	অকল্প
aeon:NN	অনন্ত কাল
afar:RB	বহুদুরে
adonize:VV	নিজেকে সজ্জিত করা
adviser:NN	পরামর্শ দাতা
adviser:NN	উপদেষ্টা
adviser:NN	মন্ত্রী
agglutionate:NN	আঠা দ্বারা সংযুক্ত করা
agiotage:NN	ফাটকা ব্যবসা
accidental:JJ	আকস্মিক
accidental:JJ	দুর্ঘটনামূলক
abrogate:VV	আইন করা
abrogate:VV	প্রথারহিত করা
abrogate:VV	রদ করা
abundance:NN	প্রচুর্য
abundance:NN	যথেষ্ট পরিমান
affabity:NN	শিষ্ঠাচার
ablaze:JJ	জ্বলন্ত
ablaze:JJ	উজ্জল
abbot:NN	মঠের কর্তা
addressee:NN	প্রাপক
actor:NN	নট
accedent:NN	আকস্মিক
accedent:NN	দুর্ঘটনা
adaptation:NN	উপযোকরণ
acrid:JJ	তিক্ত
acrid:JJ	ঝাল
acrid:JJ	বিস্বাদ
accrescence:NN	ক্রমিকবৃদ্ধি
acceleate:VV	দ্রুততর করা
acceleate:VV	গতি বৃদ্ধি করা
aft:NN	পশ্চাদ্বর্তী
active:JJ	কার্যকর
active:JJ	ফলপ্রদ
active:JJ	কর্মঠ
accumulation:NN	সংগ্রহ
accumulation:NN	সঞ্চয়
accumulation:NN	স্তুপ
accumulation:NN	রাশি
abhorrent:JJ	জঘন্য
abhorrent:JJ	ঘৃণ্য
abstractedly:RB	অন্যমনস্কভাবে
abstractedly:RB	মনে-মনে
aboard:IN	জাহাজের মধ্যে
affirmative:JJ	স্বীকৃতি সূচক
aforethought:NN	পূর্বকল্পিত
accord:NN	ঐক্য
accord:NN	সামঞ্জস্য
absorptive:JJ	শোষণক্ষম
absorptive:JJ	শুষে নিতে পারে এমন
accordion:NN	বাদ্যযন্ত্র বিশেষ
abeyance:NN	মুলতবি
abeyance:NN	সাময়িক স্থগিতাবস্থা
admit:VV	ভর্তি করা
afternoon:UH	বিকাল বেলা
adulterer:NN	ব্যভিচারী
acquisitive:JJ	অর্জন করিতে ইচ্ছুক
accidence:NN	রূপতত্ত্ব
acne:NN	মুখব্রণ
accountable:JJ	কৈফিয়ত দেওয়ার জন্য বাধ্য
aggressor:NN	আক্রমণকারী দেশ
accuse:VV	অভিযোগ করা
accuse:VV	দোষারোপ করা
adjustment:NN	ব্যবহার উপযোগী করা
adjustment:NN	সমন্বয় সাধন
abnegation:NN	ত্যাগ স্বীকার
abnegation:NN	আত্মোৎসর্গ
agrarain:NN	ভূমি ও কৃষি বিষয়ক
accountant:NN	হিসাবরক্ষক
accountant:NN	গাণনিক
adulterant:JJ	ভেজাল দেওয়ার উপকরণ
afghan:JJ	আফগানিস্থানের অধিবাসী
accumulator:NN	সঞ্চয়কারী
acknowledgement:NN	স্বীকার
acknowledgement:NN	প্রাপ্তিস্বীকার পত্র
acknowledgement:NN	রসিদ
affective:NN	অনুভুতি সম্বন্ধীয়
acclimatize:VV	আবহাওয়া বা জলবায়ূতে অভ্যস্ত করনো
affectionality:NN	প্রীতি পূর্ণ ভাবে
absurdity:NN	অসংগত বিষয়
adrift:RB	ভাসমান অবস্থায়
actionable:JJ	মোকদ্দমার যোগ্য
acquittal:NN	আদালতের বিচারে খালাস
acceleration:NN	বেগবর্ধন
acceleration:NN	দ্রুতকরণ
acceleration:NN	ত্বরণ
advertising:NN	বিজ্ঞাপন সরবরাহকারী
accordance:NN	ঐকমত্য
accordance:NN	অনুরূপতা
abstracted:JJ	অন্যমনস্ক
abyssinnian:NP	আবিসিনিয়া দেশের লোক
adventurer:NN	দুঃসাহস
adventurer:NN	বিপদজনক
above:RB	উর্দ্ধে
above:RB	অধিক
abstinenee:NN	সংযম
abstinenee:NN	উপরতি
agenda:NN	সভায় আলচ্য বিষয় সূচি
aggrieve:NN	কষ্ট দেওয়া
acrimonious:JJ	উগ্র
acrimonious:JJ	তীব্র
absolutely:RB	বিনা শর্তে
absolutely:RB	নিশ্চিতরূপে
agility:NN	তৎপরতা
acacia:NN	বাবলা জাতীয় গাছ
able:JJ	যোগ্য
able:JJ	সামর্থ
abstruse:JJ	দূর্বোধ্য
abstruse:JJ	জটিল
abstruse:JJ	নিগূঢ়
admiralty:NN	নৌ-বিভাগ
admiralty:NN	প্রসাশন কার্যালয়
adorable:JJ	ভালবাসার যোগ্য
abominate:VV	অত্যন্ত ঘৃণা করা
addict:NN	আসক্ত করা
aborasion:NN	মাজন
aborasion:NN	ঘর্ষণ
abjuration:NN	শপথ পূর্বক পরিত্যাগ
absolution:NN	দন্ড হতে অব্যহতি
absolution:NN	নিষ্কৃতি
credibility:NN	বিশ্বাসযোগ্যতা
icy:JJ	বরফ-শীতল
boon:JJ	অনুগ্রহ
agility:NN	তৎপরতা
alluring:JJ	লোভনীয়
parade:NN	কুচকাওয়াজ
gangster:NN	গুন্ডা
chord:NN	বাদ্যযন্ত্রের তার
guinness:NP	গিনেস
carnival:NP	কার্নিভাল
guinness.book:NP	গিনেস বুক
notable.award:NN	উল্লেখযোগ্য পূরস্কার
parade:NN	মিছিল
abdurrahman:NP	আব্দুর রহ্‌মান
spunky:JJ	তেজী
authorities:NNS	কর্তৃপক্ষ
boom:NN	উচ্চ প্রবৃদ্ধি
arrogance:NN	অহংকার
photo:NN	ছবি
mV:NP	মিলি ভোল্ট
field:NN	ক্ষেত্র
specific.field:NN	নির্দিষ্ট ক্ষেত্র
recognized:JJ	পরিচিত
alpona:NP	আলপনা
neutral.point.of.view:NP	নিরপেক্ষ দৃষ্টিভঙ্গি
quality:NN	গুনমান
peanut:NN	বাদাম
water.melon:NN	তরমুজ
ribavirin:NP	রিবাভিরিন
defects:NNS	খুঁত
female.partner:NN	স্ত্রী সঙ্গী
sheet:NN	পত্র
typical:JJ	প্রতিরুপ
redistributed:JJ	পুনর্বিতরিত
copyleft:NN	কপিলেফট
requirement:NN	প্রয়োজন
acknowledgment:NN	কৃতজ্ঞতাস্বীকার
gfdl:NP	জিএফডিএল
defect:NN	খুঁত
sections:NNS	অনুচ্ছেদ
duct:NN	নালী
doodle:VV	অন্যমনস্কভাবে হিজিবিজিকাটা
glycol:NN	গ্লাইকল
donât:VV	করো না
free:RB	মুক্ত
sterilizer:NN	শুদ্ধিকারক
templates:NNS	টেমপ্লেট
pepper:NN	মরিচ
custom:NN	প্রথা
genie:NN	জিন
sharply:RB	তীক্ষ্নভাবে
photo:NN	ফটো
non-free:JJ	উন্মুক্ত নয় এমন
free.content:NN	মুক্ত বস্তু
avidly:RB	লুব্ধভাবে
non-free.image:NN	উন্মুক্ত নয় এমন চিত্র
pixie:NN	খুদে পরী
policy:NN	নীতি
press:NN	মুদ্রন
borrowing:NN	ধার
release:NN	মুক্তি
reacquire:VV	পুনরায় অধিগ্রহন করা
asymptotic:JJ	অসীমতট
guinea:NP	গিনি
one:CD	এক
tremulous:JJ	কম্পিত
vitality:NN	জীবনী শক্তি
flow:NN	প্রবাহ
propriety:NN	উপযুক্ত আচরন
propriety:NN	শুদ্ধ কাজ
amalgamate:VV	মিশ্রিত করা
amalgamate:VV	যুক্ত হওয়া
ailing:JJ	পীড়িত
altitude:NN	লম্বের উচ্চতা
allotment:NN	ভাগ
allotment:NN	বন্টন
allotment:NN	ভাগের অংশ
air-mail:NN	বিমান ডাক
alongside:IN	নিকটবর্তী
alter:VV	ভিন্নপ্রকার হওয়া
ambiguous:JJ	দ্ব্যর্থক
airy:JJ	বায়ুর মতো
aloe:NN	ঘৃতকুমারী
aircraft:NN	উড়ো জাহাজ
altercation:NN	বাদানুবাদ
altercation:NN	তর্কাকর্তী
allopath:NN	অ্যালপেথিক ডাক্তার
alcoran:NP	কোরান
airfield:NN	বিমান ঘাঁটি
alack:NN	দুঃখ প্রকাশক শদ্ব বিশেষ
alphabetic:JJ	বর্ণানুক্রম
all-pervading:JJ	সর্বব্যাপি
alien:NN	বিদেশী লোক
aliment:NN	খাদ্য দ্রব্য
allure:NN	প্রলোভিতা
alleviation:NN	উদ্যানে বেড়াইবার পথ
allegory:NN	রূপক
albumen:NN	ডিম্বের শ্বেতাংশ
aimless:NN	লক্ষ্যহীন
ambrosia:NN	অমৃত
ail:NN	কষ্ট পাওয়া
all-powerful:JJ	সর্বশক্তি মান
airliner:NN	যাত্রী বাহী বৃহৎ বিমান
ally:NN	মৈত্রীবদ্ধ ব্যক্তি
ally:NN	মিত্র রাষ্ট্র
airship:NN	উড়ো জাহাজ
almirah:NN	আলমারী
ale:NP	মদ্য বিশেষ
airtight:NN	বায়ুরোধী
airborne:NN	বায়ু-বাহিত
amalgam:NN	পারদ মিশ্রিত ধাতু
almost:RB	অনেকাংশে
altruist:NN	পরার্থপর ব্যক্তি
alkali:NN	ক্ষার
alms:NNS	ভিক্ষাদান
alms:NNS	খয়রাত
aide-de-camp:NN	পার্শ্বচর
allopathy:NN	বিষম চিকিৎসা পদ্ধতি
already:RB	ইতমধ্যে
already:RB	ইতোপূর্বে
allevition:NN	লাঘব
almighty:NN	সর্বশক্তি মান
amenability:NN	নম্রতা
am:VBP	হই
am:VBP	আছি
allegorical:JJ	রূপকাত্মক
ailent:JJ	অসুস্থতা
airtransport:NN	বিমান পরিবহন
ambition:NN	উচ্চাভিলাষ
ambition:NN	উচ্চ আকাঙক্ষা
almanac:NN	পঞ্জিকা
amaranth:NN	কল্পিত অম্নান পুষ্প বিশেষ
alternative:NN	বৈকল্পিক
alternative:NN	বিকল্প স্বরুপ
alloy:NN	সঙ্কর
alloy:NN	মিশ্র ধাতু
airbladder:NN	পটকা
allay:NN	উপশম করা
alamode:NN	ফ্যাশান দুরস্ত
allegtion:NN	অভিযোগ
alphabet:NN	বর্ণমালা
alphabet:NN	অক্ষরমালা
ameliorate:VV	উন্নতি সাধন করা
alieantation:NN	হস্তান্তর
aloud:RB	উচ্চ শব্দ করে
altogether:RB	সম্পূর্নরুপে
ameer:NN	আমীর
albatross:NN	সামুদ্রিক পক্ষি বিশেষ
allottee:NN	যাহাকে অংশ নির্দিষ্ট করে দেওয়া হয়
amenable:JJ	শাসনযোগ্য
ambidexter:NN	যার দুহাত সমভাবে কাজ করতে পারে
airport:NN	বিমান ঘাঁটি
aloft:RB	ঊর্ধে
aloft:RB	উচ্চে
aloft:RB	শূন্যে
altercate:VV	বাদানুবাদ করা
alcove:NP	ঘরের সমপ্রসারিত ঘেরা স্থান বিশেষ
alsatian:NP	একজাতীয় কুকুর
alternate:JJ	একান্তর
alibi:NN	অপরাধ সংকট কালে অভিযুক্ত ব্যক্তির উপস্থিত না থাকার অজর
allies:NNS	সংযোগ
alternating:VVG	গতিবিমুখ
amain:RB	প্রচন্ড শক্তিতে
amain:RB	খুব তাড়াতাড়ি
ameliorative:JJ	উন্নতি কারক
always:RB	চিরন্তন
alarm:NN	বিপদ সংকেত
amen:UH	তাই হোক
amen:UH	তথাস্তু
all-round:JJ	চৌকস
all-round:JJ	সর্বতোমুখী
aloof:JJ	কিয়দ্দুরে
also:RB	আরও
also:RB	সেইরূপ
alias:NN	অন্য নামে
amaze:VV	হতবুদ্ধি করা
allah:NP	আল্লাহ
ambient:JJ	পরিবেষ্টনকারী
alarmbell:NN	বিপদ সূচক ঘন্টা
alchemy:NN	কিমিয়া
alchemy:NN	অপরসায়ন
alchemy:NN	মধ্য যুগের রসায়ন শাস্ত্র
allowance:NN	ভাতা
allowance:NN	বিশেষ সুবিধা
all:DT	মোটের উপর
alas:UH	হায়-হায়
allocation:NN	বিভাজন বা বন্টন
allopathic:JJ	অ্যালপেথি সম্বন্ধীয়
alluvium:NN	পলিমাটি
alms-house:JJ	অনাথাশ্রম
alleviate:VV	লাঘব করা
alligation:NN	একজাতীয় আমেরিকান কুমির
allude:VV	পরক্ষভাবে উল্লেখ করা
amateur:NN	অপেশাদার
allusion:NN	পূর্বসূত্র
allusion:NN	প্রসঙ্গ
amabassasor:NN	রাজদূত
amabassasor:NN	রাষ্ট্রদূত
allocate:VV	নির্দিষ্ট করে ভাগ করে দেওয়া
allege:VVP	অভিযোগ করা
along:IN	কেবল
along:IN	একাকী
along:IN	নিঃসঙ্গ
aligm:NN	শ্রেণী বদ্ধ হয়ে দাড়ানো
alarmclock:NN	ঘুম ভাঙ্গানো ঘড়ি
algebraist:NN	বীজগণিত বেত্তা
alarmist:NN	যে ব্যক্তি সামান্য কারণে আতঙ্কের সৃষ্টি করে
ambergris:NN	তিমি মাছের তন্ত্রজাত
ambergris:NN	সুগন্ধি দ্রব্যবিশেষ
alarming:VVG	উদ্বেগ জনক
amazon:NN	আমাজন
alfresco:NN	মুক্ত বায়ুতে
amble:VV	কদমে চলা
amble:VV	ধীরে চলা
allegiance:NN	আনুগত্য
airconditioned:JJ	শীতাতপ নিয়ন্ত্রিত
alight:NN	নেমে আসা
allied:VVN	সন্ধিবদ্ধ
allied:VVN	সম্মিলিত
amelioration:NN	উনতি
amelioration:NN	উন্নতি সম্পাদান
almsman:NN	ভিক্ষোপজীবি
airraid:NN	বিমান আক্রমণ
allergy:NN	রোগ বিশেষ
alternation:NN	পালাক্রমে সংঘটন
alienator:NN	সম্পত্তি হস্তান্তরকারী
alleged:VVN	অভিযোগে বর্ণিত
airpump:NN	বায়ু নিষ্কাশন যন্ত্র
ambitious:JJ	উচ্চাভিলাষী
ambitious:JJ	দূরাকাংক্ষী
aligment:NN	এক সরল রেখায় বিনস্ত করণ
air-base:NN	বিমান ঘাটি
alienate:NN	শক্ত বা অধিকার হস্তান্তর করা
alpha:JJ	গ্রীক বর্নমালার প্রথম অক্ষর
airing:VVG	খোলা বাতাসে বেড়ানো
alacrity:NN	তৎপরতা
album:NN	ফটোগ্রাফ
alga:NN	সমুদ্র শৈবাল
altemeter:NN	উচ্চতাপমাপক যন্ত্র
alliance:NN	মৈত্রী
alliance:NN	সন্ধি
alliance:NN	কুটুম্বিতা
alike:NN	সদৃশ
alike:NN	অনুরূপ
alteration:NN	পরিবর্তন করা
algebra:NN	বীজগণিত
amatory:JJ	প্রণয় সংক্রান্ত
amazement:NN	বিস্ময়
allegoric:JJ	রূপকাত্মক
albeit:NN	যদিও
although:IN	সত্ত্বেও
alternatively:RB	বিকল্পরুপে
alkaline:NN	ক্ষারীয়
alderman:NP	পৌর মুক্ষ্য
airdrome:NN	বিমান ঘাঁটি
allot:VV	বন্টন করা
allot:VV	নিদিষ্ট করে দেওয়া
alimentary:NN	খাদ্য সংক্রান্ত
amber:JJ	তৈলস্ফটিক
altruism:NN	পরার্থবাদ
airhostess:NN	বিমান সেবিকা
alpine:NP	আল্পস
alluring:JJ	মুগ্ধকর
alum:NN	ফট্‌কিরি
alumnus:NN	প্রাক্তন ছাত্র
alumnus:NN	প্রাক্তনী
ambit:NN	বেষ্টনী
ambit:NN	চৌহদ্দি
amanuensis:NN	শ্রুতিলিপিকর
amanuensis:NN	শ্রুতি লেখক
airmarshal:NN	বিমান বাহিনীর উচ্চ পদস্থ কর্মচারী বিশেষ
ambush:NN	ওতপাতা
alliteration:NN	অনুপ্রাস
airpower:NN	বিমান শক্তি
akim:NN	এক বংশজ
akimbo:NP	কোমরে হাত দিয়ে ও কুনই বেড় করে দাড়ানো
al-house:NN	মদের দোকান
alchol:NN	বিশুদ্ধ সুরাসার
amalgamation:NN	মিশ্রণ
airgun:NN	বন্দুক
altar:NN	পূজাবেদী
amass:VV	সঞ্চয় করা
amass:VV	জমান
alive:NN	জীবন্ত
air-force:NN	বিমান বাহিনী
aluminium:NN	অ্যলুমিনিয়াম
airway:NN	যে পথে নিয়মিত বিমান চলাচল করে
cataclysm:NN	মহাপ্লাবন
cataclysm:NN	প্রলয়
cataclysm:NN	ভীষণ ভূমিকম্প
cataclysm:NN	মহাযুদ্ধ
casque:NN	শিরস্ত্রাণ
cataract:NN	জলপ্রপাত
cataract:NN	চোখের ছানিরোগ
catechu:NN	খয়ের
caste:NN	যবর্ণ
caste:NN	জাতি
catholic:JJ	ক্যাথলিক
catholic:JJ	ধর্মমতাবলম্বী
catholic:JJ	সার্বজনীন
cast:NN	নিক্ষেপ করা
cast:NN	ছাচে ঢালা
carving:VVG	খোদাই করা কোন জিনিস
carving:VVG	খোদাই করা মূর্তি
cask:NN	তরল জিনিস রাখিবার পিপা
cashier:NN	কোষাধ্যক্ষ
cashier:NN	খাজাঞ্চী
castor-oil:NN	রেড়ির তেল
category:NN	শ্রেণী
category:NN	বিভাগ
catarrh:NN	সর্দি
cholera:NN	ওলাউঠা
cholera:NN	কলেরা
casting:VVG	নিক্ষেপণ
christ:NN	যীশুখ্রীষ্ট
causative:JJ	কারণ সূচক
causative:JJ	নিজন্ত
cauterization:NN	কস্টিক বা উত্তপ্ত লৌহ দ্বারা দহন
caw:VV	কাকের ডাক
celestial:JJ	আকাশ-সম্বন্ধীয়
celestial:JJ	অত্যন্ত সুন্দর
celebrity:NN	যশঃখ্যাতি
ceiling:NN	ঘরের ছাদের ভিতরের দিক
cattle:NNS	গৃহপালিত পশু
cattle:NNS	গবাদি পশু
cavalier:JJ	অশ্বারোহী সৈনিক
cavalier:JJ	শিষ্টাচারী ভদ্রলোক
cavalier:JJ	বীর
catheter:NN	মূত্র নিষ্কাশনের নল বিশেষ
choir:NN	গির্জার গায়কদল
catechetic:JJ	প্রশ্নোত্তর-সম্বন্ধীয়
choke:VV	শ্বাসরোধ করা
choke:VV	অবরোধ করা
choke:VV	ব্যাহত করা
cathedral:NN	বিশপের অধীন গির্জা
